KSHKOD,"TELNEV","TELNEV CLEAR",POP,SIZE_km2,latitude,longitude,SUBREG,SUBREGCENT,COUNTYCODE,COUNTYCENT,TOWN,REGION,UNIV
2262,"Ónod","Onod",2595,1773,47.996415,20.920655,3501,0,5,0,0,5,0
3192,"Beremend","Beremend",2594,4826,45.784835,18.434705,3205,0,2,0,0,4,0
1395,"Ják","Jak",2591,4495,47.139875,16.581915,4808,0,18,0,0,3,0
2645,"Kadarkút","Kadarkut",2583,3974,46.231985,17.616165,4411,1,14,0,1,4,0
2757,"Kelebia","Kelebia",2583,6670,46.197515,19.606955,3307,0,3,0,0,7,0
1522,"Gyõrzámoly","Gyorzamoly",2581,2639,47.74114,17.57682,3802,0,8,0,0,3,0
1183,"Pocsaj","Pocsaj",2579,4955,47.28462,21.82747,3902,0,9,0,0,6,0
2751,"Besenyõtelek","Besenyotelek",2569,4910,47.697654,20.429165,4003,0,10,0,0,5,0
470,"Iregszemcse","Iregszemcse",2569,5833,46.693346,18.183533,4705,0,17,0,0,4,0
911,"Tiszaeszlár","Tiszaeszlar",2566,5456,48.042218,21.454878,4509,0,15,0,0,6,0
2658,"Rajka","Rajka",2563,5260,48.000265,17.195595,3804,0,8,0,0,3,0
251,"Kocs","Kocs",2561,5827,47.605425,18.213265,4106,0,11,0,0,2,0
2534,"Sárkeresztúr","Sarkeresztur",2561,4675,47.00651,18.54522,3708,0,7,0,0,2,0
1604,"Kunágota","Kunagota",2559,6396,46.42726,21.056355,3402,0,4,0,0,7,0
1058,"Beled","Beled",2553,2647,47.468418,17.109301,3803,0,8,0,1,3,0
724,"Apc","Apc",2552,2046,47.793455,19.69199,4005,0,10,0,0,5,0
2228,"Ófehértó","Ofeherto",2551,4317,47.93546,22.03473,4501,0,15,0,0,6,0
1925,"Okány","Okany",2547,7062,46.89878,21.34833,3404,0,4,0,0,7,0
377,"Arnót","Arnot",2544,1754,48.134976,20.858739,3501,0,5,0,0,5,0
